Timestep,Ontario,Northwest,Northeast,Ottawa,East,Toronto,Essa,Bruce,Southwest,Niagara,West
1/2/2016 12:00,26.38023627,46.2703958,96.98029487,29.42787918,29.42787918,12.37727077,10.30107632,0.168233266,0.198661446,0.091163693,55.40283958
1/2/2016 13:00,26.39896156,43.34308294,105.2355403,29.66983954,29.66983954,12.42119656,0.138144518,0.168423688,0.19768099,0.091163693,55.61415825
1/2/2016 14:00,27.15798917,44.63846901,106.4159978,30.22479348,30.22479348,12.8436761,0.147693396,0.167654784,0.195291268,0.046638079,57.45821645
1/2/2016 15:00,26.91695449,42.49496875,104.341143,29.65928364,29.65928364,12.70459898,0.145165079,0.167651461,0.190583756,0.03337884,57.99102838
1/2/2016 16:00,26.86647923,51.10239875,99.54402689,27.16871822,27.16871822,12.34386467,0.152532181,0.172228392,0.196992234,0.075019763,61.63677923
1/2/2016 17:00,26.34745228,49.27233805,96.70242632,25.52042539,25.52042539,11.9022989,0.16408077,0.177313875,0.207790811,0.069515152,66.90676837
1/2/2016 18:00,25.24080329,46.16192374,88.6107574,24.01901739,24.01901739,11.35880364,8.377378411,0.180237896,0.222485465,0.075967504,65.74640312
1/2/2016 19:00,24.30040624,42.02963752,84.22609481,23.39823433,23.39823433,10.98301494,18.97912954,0.184261301,0.22854951,0.080385208,58.49276919
1/2/2016 20:00,24.57827817,46.34300863,87.48546729,23.97030711,23.97030711,10.97976482,13.59811278,0.181663207,0.225242818,0.08024787,57.51226672
1/2/2016 21:00,25.47161275,46.99814233,83.48487281,25.040595,25.040595,11.2558434,25.46930736,0.180055796,0.205989579,0.078948159,63.04364068
1/2/2016 22:00,26.08198061,50.90194779,87.28211305,25.77962123,25.77962123,11.30505338,19.67985147,0.179522074,0.202625164,0.074340491,63.2544468
1/2/2016 23:00,27.15797529,53.00474081,104.8787389,26.76029556,26.76029556,11.58037187,0.148962527,0.174911536,0.198363365,0.059294872,63.92031369
1/3/2016 0:00,27.78144671,53.09665977,107.3016578,25.59489929,25.59489929,11.66976509,0.155985088,0.176594834,0.198099442,0.070073469,65.09847582
1/3/2016 1:00,28.50428715,55.42689846,110.0667095,24.58740334,24.58740334,11.75365819,0.150569479,0.177225738,0.195775096,0.076031373,69.23002717
1/3/2016 2:00,29.62751001,56.36305896,115.5240979,26.18748464,26.18748464,12.65112935,0.144373324,0.176337237,0.193313433,0.037279597,64.26839542
1/3/2016 3:00,30.16875734,55.33484501,113.61008,26.7289035,26.7289035,13.04818359,0.14726468,0.17910052,0.19711991,0.067590551,65.15000083
1/3/2016 4:00,30.45016076,54.04778468,111.7803338,26.42511461,26.42511461,13.14376977,0.145925985,0.176676783,0.194755787,0.023361775,65.33961176
1/3/2016 5:00,30.65110647,52.27120568,113.9001784,26.99922867,26.99922867,13.22257521,0.145635964,0.175166921,0.193086278,0.036344605,67.14553554
