name,_id,run_start_time,run_end_time,status,status_message,nrc_create_necb_prototype_building.building_type,nrc_report_utility_costs.annual_electricity_use_kWh,nrc_report_utility_costs.annual_natural_gas_use_GJ,nrc_report_utility_costs.total_site_energy,nrc_report_utility_costs.total_site_energy_kWh,openstudio_results.eui,air_loops_detail_section,annual_overview_section,building_summary_section,calc_choice,cost_summary_section,electricity_cost,envelope_section_section,epw_file,exterior_light_section,gas_cost,hvac_load_profile,interior_lighting_section,measure_warning_section,monthly_overview_section,outdoor_air_section,plant_loops_detail_section,plug_loads_section,reg_monthly_details,schedules_overview_section,sideload,source_energy_section,space_type_breakdown_section,space_type_details_section,template,units,utility_bills_rates_section,water_use_section,zone_condition_section,zone_equipment_detail_section,zone_summary_section
SmallOffice,5fe0e3d3-65f4-4f96-b62d-37c51f5157cb,2021-12-24T15:04:29.741Z,2021-12-24T15:05:17.116Z,completed,completed normal,SmallOffice,,,57200,,111.907774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MediumOffice,5948ce53-6120-43a9-b078-41c4782e03b3,2021-12-24T15:04:29.937Z,2021-12-24T15:05:44.857Z,completed,completed normal,MediumOffice,,,487300,,97.79947283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LargeOffice,7b76eb26-c0a7-4f8a-bcc4-9f4bf1c0d954,2021-12-24T15:04:29.983Z,2021-12-24T15:06:05.012Z,completed,completed normal,LargeOffice,,,4397000,,94.92234064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
