display_name,display_name_short,export,maximum,measure_id,metadata_id,minimum,name,objective_function,objective_function_group,objective_function_index,output,perturbable,pivot,static_value,units,value_type,visualize,measure_name,measure_display_name,type_of_variable
Which Unit System do you want to use?,units,false,,76619f3d-18f5-4881-977d-d6851fd9ddf9,,,units,false,,,false,false,false,,,string,false,openstudio_results,OpenStudio Results,unknown
Model Summary,building_summary_section,false,,76619f3d-18f5-4881-977d-d6851fd9ddf9,,,building_summary_section,false,,,false,false,false,,,boolean,false,openstudio_results,OpenStudio Results,unknown
Annual Overview,annual_overview_section,false,,76619f3d-18f5-4881-977d-d6851fd9ddf9,,,annual_overview_section,false,,,false,false,false,,,boolean,false,openstudio_results,OpenStudio Results,unknown
Monthly Overview,monthly_overview_section,false,,76619f3d-18f5-4881-977d-d6851fd9ddf9,,,monthly_overview_section,false,,,false,false,false,,,boolean,false,openstudio_results,OpenStudio Results,unknown
Utility Bills/Rates,utility_bills_rates_section,false,,76619f3d-18f5-4881-977d-d6851fd9ddf9,,,utility_bills_rates_section,false,,,false,false,false,,,boolean,false,openstudio_results,OpenStudio Results,unknown
Envelope Summary,envelope_section_section,false,,76619f3d-18f5-4881-977d-d6851fd9ddf9,,,envelope_section_section,false,,,false,false,false,,,boolean,false,openstudio_results,OpenStudio Results,unknown
Space Type Breakdown,space_type_breakdown_section,false,,76619f3d-18f5-4881-977d-d6851fd9ddf9,,,space_type_breakdown_section,false,,,false,false,false,,,boolean,false,openstudio_results,OpenStudio Results,unknown
Space Type Summary,space_type_details_section,false,,76619f3d-18f5-4881-977d-d6851fd9ddf9,,,space_type_details_section,false,,,false,false,false,,,boolean,false,openstudio_results,OpenStudio Results,unknown
Interior Lighting Summary,interior_lighting_section,false,,76619f3d-18f5-4881-977d-d6851fd9ddf9,,,interior_lighting_section,false,,,false,false,false,,,boolean,false,openstudio_results,OpenStudio Results,unknown
Plug Loads Summary,plug_loads_section,false,,76619f3d-18f5-4881-977d-d6851fd9ddf9,,,plug_loads_section,false,,,false,false,false,,,boolean,false,openstudio_results,OpenStudio Results,unknown
Exterior Lighting,exterior_light_section,false,,76619f3d-18f5-4881-977d-d6851fd9ddf9,,,exterior_light_section,false,,,false,false,false,,,boolean,false,openstudio_results,OpenStudio Results,unknown
Water Use Equipment,water_use_section,false,,76619f3d-18f5-4881-977d-d6851fd9ddf9,,,water_use_section,false,,,false,false,false,,,boolean,false,openstudio_results,OpenStudio Results,unknown
HVAC Load Profiles,hvac_load_profile,false,,76619f3d-18f5-4881-977d-d6851fd9ddf9,,,hvac_load_profile,false,,,false,false,false,,,boolean,false,openstudio_results,OpenStudio Results,unknown
Zone Conditions,zone_condition_section,false,,76619f3d-18f5-4881-977d-d6851fd9ddf9,,,zone_condition_section,false,,,false,false,false,,,boolean,false,openstudio_results,OpenStudio Results,unknown
Zone Overview,zone_summary_section,false,,76619f3d-18f5-4881-977d-d6851fd9ddf9,,,zone_summary_section,false,,,false,false,false,,,boolean,false,openstudio_results,OpenStudio Results,unknown
Zone Equipment Detail,zone_equipment_detail_section,false,,76619f3d-18f5-4881-977d-d6851fd9ddf9,,,zone_equipment_detail_section,false,,,false,false,false,,,boolean,false,openstudio_results,OpenStudio Results,unknown
Air Loops Detail,air_loops_detail_section,false,,76619f3d-18f5-4881-977d-d6851fd9ddf9,,,air_loops_detail_section,false,,,false,false,false,,,boolean,false,openstudio_results,OpenStudio Results,unknown
Plant Loops Detail,plant_loops_detail_section,false,,76619f3d-18f5-4881-977d-d6851fd9ddf9,,,plant_loops_detail_section,false,,,false,false,false,,,boolean,false,openstudio_results,OpenStudio Results,unknown
Outdoor Air,outdoor_air_section,false,,76619f3d-18f5-4881-977d-d6851fd9ddf9,,,outdoor_air_section,false,,,false,false,false,,,boolean,false,openstudio_results,OpenStudio Results,unknown
Cash Flow,cost_summary_section,false,,76619f3d-18f5-4881-977d-d6851fd9ddf9,,,cost_summary_section,false,,,false,false,false,,,boolean,false,openstudio_results,OpenStudio Results,unknown
Site and Source Summary,source_energy_section,false,,76619f3d-18f5-4881-977d-d6851fd9ddf9,,,source_energy_section,false,,,false,false,false,,,boolean,false,openstudio_results,OpenStudio Results,unknown
Schedule Overview,schedules_overview_section,false,,76619f3d-18f5-4881-977d-d6851fd9ddf9,,,schedules_overview_section,false,,,false,false,false,,,boolean,false,openstudio_results,OpenStudio Results,unknown
Measure Warnings,measure_warning_section,false,,76619f3d-18f5-4881-977d-d6851fd9ddf9,,,measure_warning_section,false,,,false,false,false,,,boolean,false,openstudio_results,OpenStudio Results,unknown
Report monthly fuel and enduse breakdown to registerValue,reg_monthly_details,false,,76619f3d-18f5-4881-977d-d6851fd9ddf9,,,reg_monthly_details,false,,,false,false,false,,,boolean,false,openstudio_results,OpenStudio Results,unknown
total_site_energy,total_site_energy,true,,6e93c7aa-7e89-485c-98b1-bec943c560eb,,,nrc_report_utility_costs.total_site_energy,false,,,true,false,false,,,,true,nrc_report_utility_costs,Report Utility Costs,output
eui,eui,true,,0eea12f3-4e3b-4c7e-9d25-d779e9f8f863,,,openstudio_results.eui,false,,,true,false,false,,"",double,true,openstudio_results,OpenStudio Results,output
