name,_id,run_start_time,run_end_time,status,status_message,nrc_create_geometry.aspect_ratio,nrc_create_geometry.building_shape,nrc_create_necb_prototype_building.building_type,nrc_create_necb_prototype_building.location,nrc_create_necb_prototype_building.template,nrc_create_necb_prototype_building.weather_file_type,nrc_reporting_measure_standard.annual_electricity_use,nrc_reporting_measure_standard.annual_natural_gas_use,nrc_reporting_measure_standard.total_site_energy,nrc_reporting_measure_standard.total_site_energy_normalized,a_choice_argument,global_warming,sideload,weather_file_type
QuickServiceRestaurant:NL_St.Johns:NECB2020,60454eee-0cb4-4313-94c9-65c3d923acab,2023-02-17T00:23:09.722Z,2023-02-17T00:27:44.315Z,completed,completed normal,,,QuickServiceRestaurant,NL_St.Johns,NECB2020,CWEC2016,63670.0,0.0,274.0,274.0,,,,
RetailStandalone:NL_St.Johns:NECB2017,a2177e29-7cc8-4002-a7d2-ff9e6bcf70e4,2023-02-16T22:48:31.042Z,2023-02-16T22:54:38.231Z,completed,completed normal,,,RetailStandalone,NL_St.Johns,NECB2017,CWEC2016,361700.0,0.0,157.7,157.7,,,,
Warehouse:NL_St.Johns:NECB2020,d156683e-c95c-4f7e-9664-359ccab6430e,2023-02-16T22:04:49.880Z,2023-02-16T22:11:43.455Z,completed,completed normal,,,Warehouse,NL_St.Johns,NECB2020,CWEC2016,685200.0,0.0,141.7,141.7,,,,
RetailStripmall:ON_Toronto:NECB2015,38c1b7df-5f94-4ea2-bede-308fd20c99bc,2023-02-16T23:35:28.823Z,2023-02-16T23:40:42.546Z,completed,completed normal,,,RetailStripmall,ON_Toronto,NECB2015,CWEC2016,317400.0,244100.0,268.6,268.6,,,,
MediumOffice:NL_St.Johns:NECB2011,115b9c6a-a282-4379-b4e1-6dfedcc46fff,2023-02-16T23:08:48.366Z,2023-02-16T23:16:21.156Z,completed,completed normal,,,MediumOffice,NL_St.Johns,NECB2011,CWEC2016,572900.0,0.0,115.0,115.0,,,,
LargeOffice:BC_Vancouver:NECB2017,2e48cf8b-3ea2-4b3c-b4b2-dd8cf21e998a,2023-02-17T00:35:08.185Z,2023-02-17T00:41:59.325Z,completed,completed normal,,,LargeOffice,BC_Vancouver,NECB2017,CWEC2016,4378000.0,0.0,94.52,94.52,,,,
RetailStandalone:NT_Yellowknife:NECB2011,66f02f2f-02cf-46d9-bfd7-03761caf9a7f,2023-02-16T22:50:07.204Z,2023-02-16T22:55:29.606Z,completed,completed normal,,,RetailStandalone,NT_Yellowknife,NECB2011,CWEC2016,451100.0,0.0,196.7,196.7,,,,
SmallOffice:BC_Vancouver:NECB2011,2a82b14f-b9a1-44d7-bee0-06349d21d4e1,2023-02-16T22:18:47.763Z,2023-02-16T22:24:54.713Z,completed,completed normal,,,SmallOffice,BC_Vancouver,NECB2011,CWEC2016,63070.0,0.0,123.4,123.4,,,,
RetailStripmall:QC_Montreal:NECB2017,9283167f-3c06-440d-b732-43d1082674be,2023-02-16T23:36:17.600Z,2023-02-16T23:41:29.474Z,completed,completed normal,,,RetailStripmall,QC_Montreal,NECB2017,CWEC2016,406200.0,0.0,194.3,194.3,,,,
MidriseApartment:QC_Quebec:NECB2020,9af1abff-d990-400f-a279-092b1ca98c34,2023-02-17T00:13:28.541Z,2023-02-17T00:20:29.659Z,completed,completed normal,,,MidriseApartment,QC_Quebec,NECB2020,CWEC2016,475800.0,0.0,151.8,151.8,,,,
RetailStripmall:YT_Whitehorse:NECB2011,821a3df5-718a-4b28-a463-ed172f3ba4a5,2023-02-16T23:40:43.119Z,2023-02-16T23:45:38.802Z,completed,completed normal,,,RetailStripmall,YT_Whitehorse,NECB2011,CWEC2016,397000.0,0.0,189.9,189.9,,,,
RetailStandalone:AB_Calgary:NECB2020,2419a9e3-8cc7-4de4-88a7-bda35b12a6a5,2023-02-16T22:37:37.045Z,2023-02-16T22:47:50.584Z,completed,completed normal,,,RetailStandalone,AB_Calgary,NECB2020,CWEC2016,219300.0,157300.0,164.2,164.2,,,,
RetailStandalone:NL_St.Johns:NECB2015,1f81c9af-257d-4f25-a130-ed0b69d39d20,2023-02-16T22:48:03.894Z,2023-02-16T22:54:07.125Z,completed,completed normal,,,RetailStandalone,NL_St.Johns,NECB2015,CWEC2016,478800.0,0.0,208.7,208.7,,,,
RetailStandalone:AB_Fort.McMurray:NECB2011,4b662165-432a-45a0-a856-dfe43cb3372d,2023-02-16T22:38:46.018Z,2023-02-16T22:48:30.476Z,completed,completed normal,,,RetailStandalone,AB_Fort.McMurray,NECB2011,CWEC2016,273600.0,271500.0,237.6,237.6,,,,
RetailStripmall:AB_Edmonton:NECB2015,2a1592c8-b102-44d1-af1f-13c2b3d5c4bb,2023-02-16T23:26:04.777Z,2023-02-16T23:30:32.354Z,completed,completed normal,,,RetailStripmall,AB_Edmonton,NECB2015,CWEC2016,282200.0,224600.0,242.5,242.5,,,,
Warehouse:ON_Windsor:NECB2011,5750b7a0-b683-4e8f-bca0-7c73f441ffdf,2023-02-16T22:11:44.152Z,2023-02-16T22:18:00.376Z,completed,completed normal,,,Warehouse,ON_Windsor,NECB2011,CWEC2016,370400.0,269300.0,132.3,132.3,,,,
SmallOffice:ON_Windsor:NECB2015,7ffe06d7-258f-4aa8-a6e6-79de6962603a,2023-02-16T22:32:27.969Z,2023-02-16T22:38:51.315Z,completed,completed normal,,,SmallOffice,ON_Windsor,NECB2015,CWEC2016,52180.0,20220.0,141.6,141.6,,,,
RetailStandalone:ON_Toronto:NECB2015,6b21af76-70e6-46ad-bbd9-c444459d6c60,2023-02-16T22:52:45.169Z,2023-02-16T22:57:36.710Z,completed,completed normal,,,RetailStandalone,ON_Toronto,NECB2015,CWEC2016,307600.0,228000.0,233.5,233.5,,,,
RetailStripmall:ON_Toronto:NECB2011,418f1134-e613-4202-9e34-df7205eff930,2023-02-16T23:35:25.214Z,2023-02-16T23:40:26.417Z,completed,completed normal,,,RetailStripmall,ON_Toronto,NECB2011,CWEC2016,336200.0,228100.0,269.9,269.9,,,,
MediumOffice:ON_Windsor:NECB2011,b20593fb-0d23-42fd-9cdb-1a800687266e,2023-02-16T23:21:06.529Z,2023-02-16T23:27:07.156Z,completed,completed normal,,,MediumOffice,ON_Windsor,NECB2011,CWEC2016,466000.0,180800.0,129.8,129.8,,,,
Warehouse:ON_Windsor:NECB2017,8c7aa99c-3a45-4277-b20e-adb47a369e82,2023-02-16T22:11:57.731Z,2023-02-16T22:18:47.176Z,completed,completed normal,,,Warehouse,ON_Windsor,NECB2017,CWEC2016,288100.0,239900.0,109.2,109.2,,,,
RetailStripmall:QC_Montreal:NECB2020,27d118c6-8e06-4549-8fce-c195937d6bbf,2023-02-16T23:37:05.312Z,2023-02-16T23:42:18.134Z,completed,completed normal,,,RetailStripmall,QC_Montreal,NECB2020,CWEC2016,418000.0,0.0,200.0,200.0,,,,
MidriseApartment:AB_Calgary:NECB2011,83fed286-ca97-48d8-9e29-e4bc93452700,2023-02-16T23:56:01.070Z,2023-02-17T00:03:38.207Z,completed,completed normal,,,MidriseApartment,AB_Calgary,NECB2011,CWEC2016,221000.0,259200.0,153.2,153.2,,,,
Warehouse:QC_Quebec:NECB2011,fc46bd59-73b9-4166-96d3-f052dbb8c5a4,2023-02-16T22:11:16.089Z,2023-02-16T22:17:21.251Z,completed,completed normal,,,Warehouse,QC_Quebec,NECB2011,CWEC2016,603800.0,0.0,124.9,124.9,,,,
FullServiceRestaurant:AB_Fort.McMurray:NECB2015,96970c71-6d54-49d0-9300-78bfd57d1462,2023-02-16T23:43:27.114Z,2023-02-16T23:47:38.034Z,completed,completed normal,,,FullServiceRestaurant,AB_Fort.McMurray,NECB2015,CWEC2016,70610.0,445400.0,1009.0,1009.0,,,,
RetailStripmall:NS_Sydney:NECB2011,9a7ab58d-d870-4f29-9577-61ea0e9a48b3,2023-02-16T23:33:33.697Z,2023-02-16T23:38:13.397Z,completed,completed normal,,,RetailStripmall,NS_Sydney,NECB2011,CWEC2016,297400.0,270700.0,271.8,271.8,,,,
SmallOffice:NS_Halifax.Dockyard:NECB2017,043a4f8a-a04c-48f5-9696-02b769a657ab,2023-02-16T22:24:58.065Z,2023-02-16T22:32:04.899Z,completed,completed normal,,,SmallOffice,NS_Halifax.Dockyard,NECB2017,CWEC2016,47600.0,13390.0,119.3,119.3,,,,
MidriseApartment:BC_Vancouver:NECB2011,5aadd21e-e98d-4979-adbe-a52b0bbfe0e6,2023-02-16T23:59:01.574Z,2023-02-17T00:05:46.201Z,completed,completed normal,,,MidriseApartment,BC_Vancouver,NECB2011,CWEC2016,371600.0,0.0,118.5,118.5,,,,
LargeOffice:QC_Quebec:NECB2015,e0b38f76-b8db-47ec-bd7c-fe4fe71e1607,2023-02-17T00:49:26.710Z,2023-02-17T00:55:48.326Z,completed,completed normal,,,LargeOffice,QC_Quebec,NECB2015,CWEC2016,5178000.0,0.0,111.8,111.8,,,,
LargeOffice:BC_Vancouver:NECB2011,b6297ca5-07fe-4fd2-991d-ea0f7420a167,2023-02-17T00:34:50.766Z,2023-02-17T00:41:21.114Z,completed,completed normal,,,LargeOffice,BC_Vancouver,NECB2011,CWEC2016,4831000.0,0.0,104.3,104.3,,,,
SmallOffice:YT_Whitehorse:NECB2011,3affa046-afda-4682-95e7-c3d92a9726dc,2023-02-16T22:34:38.371Z,2023-02-16T22:40:22.914Z,completed,completed normal,,,SmallOffice,YT_Whitehorse,NECB2011,CWEC2016,66990.0,0.0,131.1,131.1,,,,
MidriseApartment:NS_Halifax.Dockyard:NECB2017,740ccac3-6cac-435a-9bad-15d9807ea194,2023-02-17T00:06:12.580Z,2023-02-17T00:13:28.051Z,completed,completed normal,,,MidriseApartment,NS_Halifax.Dockyard,NECB2017,CWEC2016,218500.0,259500.0,152.5,152.5,,,,
Warehouse:QC_Montreal:NECB2020,98b79492-d91f-4e50-bf32-f6e6a41884e0,2023-02-16T22:11:12.238Z,2023-02-16T22:18:09.141Z,completed,completed normal,,,Warehouse,QC_Montreal,NECB2020,CWEC2016,617200.0,0.0,127.6,127.6,,,,
SmallOffice:AB_Fort.McMurray:NECB2020,432dc056-2245-474a-9f5d-1a3351ba3d07,2023-02-16T22:18:42.599Z,2023-02-16T22:25:44.719Z,completed,completed normal,,,SmallOffice,AB_Fort.McMurray,NECB2020,CWEC2016,40680.0,23330.0,125.2,125.2,,,,
MediumOffice:NS_Halifax.Dockyard:NECB2015,b36f3170-bada-4f8f-837d-f9544c7e0079,2023-02-16T23:11:16.689Z,2023-02-16T23:20:16.961Z,completed,completed normal,,,MediumOffice,NS_Halifax.Dockyard,NECB2015,CWEC2016,409200.0,177500.0,117.8,117.8,,,,
RetailStandalone:AB_Fort.McMurray:NECB2020,76739216-ecd8-4cff-9712-e4b6b5008165,2023-02-16T22:39:20.203Z,2023-02-16T22:49:33.819Z,completed,completed normal,,,RetailStandalone,AB_Fort.McMurray,NECB2020,CWEC2016,198100.0,205600.0,176.0,176.0,,,,
FullServiceRestaurant:MB_Winnipeg:NECB2015,7ac1e90b-59c3-4c14-9bf2-4c15626d5132,2023-02-16T23:46:06.250Z,2023-02-16T23:50:51.470Z,completed,completed normal,,,FullServiceRestaurant,MB_Winnipeg,NECB2015,CWEC2016,393000.0,0.0,768.9,768.9,,,,
RetailStandalone:SK_Saskatoon:NECB2020,d668c554-4dc9-4693-8b5d-06f7d2e3bbd1,2023-02-16T22:57:00.502Z,2023-02-16T23:02:29.875Z,completed,completed normal,,,RetailStandalone,SK_Saskatoon,NECB2020,CWEC2016,215200.0,225000.0,191.9,191.9,,,,
MediumOffice:BC_Victoria:NECB2020,69e78f97-e17e-46c3-ad75-a1bb49849e28,2023-02-16T23:04:25.162Z,2023-02-16T23:13:56.165Z,completed,completed normal,,,MediumOffice,BC_Victoria,NECB2020,CWEC2016,450100.0,0.0,90.35,90.35,,,,
FullServiceRestaurant:ON_Toronto:NECB2017,9ca9f72f-f50e-46c6-9d65-d462f8d2e8a6,2023-02-16T23:51:06.555Z,2023-02-16T23:55:57.061Z,completed,completed normal,,,FullServiceRestaurant,ON_Toronto,NECB2017,CWEC2016,85180.0,152300.0,464.6,464.6,,,,
SmallOffice:AB_Fort.McMurray:NECB2011,24b199b0-f65f-446c-b016-3236ebd7dde1,2023-02-16T22:18:09.681Z,2023-02-16T22:24:17.346Z,completed,completed normal,,,SmallOffice,AB_Fort.McMurray,NECB2011,CWEC2016,46380.0,38320.0,165.7,165.7,,,,
RetailStandalone:NS_Halifax.Dockyard:NECB2011,da981c3c-9b92-4265-a1c2-fe11833d9608,2023-02-16T22:48:55.021Z,2023-02-16T22:54:46.407Z,completed,completed normal,,,RetailStandalone,NS_Halifax.Dockyard,NECB2011,CWEC2016,286300.0,197500.0,210.9,210.9,,,,
FullServiceRestaurant:AB_Calgary:NECB2020,a633006c-940e-4521-ba68-59063d86f40b,2023-02-16T23:42:00.112Z,2023-02-16T23:46:41.115Z,completed,completed normal,,,FullServiceRestaurant,AB_Calgary,NECB2020,CWEC2016,58840.0,100300.0,311.4,311.4,,,,
SmallOffice:BC_Victoria:NECB2011,f8a5c269-470a-4a94-9086-8003554e508e,2023-02-16T22:19:59.399Z,2023-02-16T22:26:17.336Z,completed,completed normal,,,SmallOffice,BC_Victoria,NECB2011,CWEC2016,61900.0,0.0,121.1,121.1,,,,
MidriseApartment:SK_Saskatoon:NECB2015,b2a829c3-8a98-4dbf-9f1c-d6d211cf94d8,2023-02-17T00:14:18.402Z,2023-02-17T00:21:43.383Z,completed,completed normal,,,MidriseApartment,SK_Saskatoon,NECB2015,CWEC2016,220800.0,442800.0,211.7,211.7,,,,
SmallOffice:AB_Calgary:NECB2020,da8fb721-2dd6-4649-865b-f42f7a78745f,2023-02-16T22:17:26.775Z,2023-02-16T22:23:26.243Z,completed,completed normal,,,SmallOffice,AB_Calgary,NECB2020,CWEC2016,44760.0,16650.0,120.1,120.1,,,,
QuickServiceRestaurant:BC_Victoria:NECB2017,b897e3b7-537d-46de-87c4-dbda3c161545,2023-02-17T00:21:36.343Z,2023-02-17T00:25:49.446Z,completed,completed normal,,,QuickServiceRestaurant,BC_Victoria,NECB2017,CWEC2016,106900.0,0.0,460.1,460.1,,,,
FullServiceRestaurant:BC_Victoria:NECB2015,4f09d9bc-25d2-4476-b476-920b1007a880,2023-02-16T23:45:43.718Z,2023-02-16T23:50:25.692Z,completed,completed normal,,,FullServiceRestaurant,BC_Victoria,NECB2015,CWEC2016,249800.0,0.0,488.6,488.6,,,,
RetailStandalone:BC_Vancouver:NECB2020,61709ec9-ab41-4dde-a613-5e8f855612fb,2023-02-16T22:40:29.063Z,2023-02-16T22:50:07.043Z,completed,completed normal,,,RetailStandalone,BC_Vancouver,NECB2020,CWEC2016,316100.0,0.0,137.8,137.8,,,,
QuickServiceRestaurant:NT_Yellowknife:NECB2020,8364cb33-8231-437f-a82b-10dd3177f37a,2023-02-17T00:26:15.070Z,2023-02-17T00:30:43.362Z,completed,completed normal,,,QuickServiceRestaurant,NT_Yellowknife,NECB2020,CWEC2016,88160.0,0.0,379.5,379.5,,,,
FullServiceRestaurant:SK_Saskatoon:NECB2017,1adbbd51-69f1-4999-b00e-65346817bf00,2023-02-16T23:55:13.030Z,2023-02-16T23:59:35.068Z,completed,completed normal,,,FullServiceRestaurant,SK_Saskatoon,NECB2017,CWEC2016,79350.0,226700.0,598.7,598.7,,,,
RetailStripmall:ON_Windsor:NECB2011,a56834a6-a75d-4054-a425-8fc328bddeeb,2023-02-16T23:38:33.637Z,2023-02-16T23:43:07.282Z,completed,completed normal,,,RetailStripmall,ON_Windsor,NECB2011,CWEC2016,348000.0,201600.0,262.9,262.9,,,,
FullServiceRestaurant:NS_Sydney:NECB2015,0d8edb20-d6aa-4c9b-9373-7d4a23f796dc,2023-02-16T23:49:42.866Z,2023-02-16T23:54:13.603Z,completed,completed normal,,,FullServiceRestaurant,NS_Sydney,NECB2015,CWEC2016,71340.0,356300.0,836.7,836.7,,,,
Warehouse:MB_Winnipeg:NECB2020,1b251957-72e3-4299-8f4b-dea6d1430b4f,2023-02-16T22:04:31.791Z,2023-02-16T22:10:19.409Z,completed,completed normal,,,Warehouse,MB_Winnipeg,NECB2020,CWEC2016,771200.0,0.0,159.5,159.5,,,,
SmallOffice:NL_St.Johns:NECB2017,4ba03148-e184-44cc-a029-b08f08d10353,2023-02-16T22:24:18.029Z,2023-02-16T22:31:15.916Z,completed,completed normal,,,SmallOffice,NL_St.Johns,NECB2017,CWEC2016,60800.0,0.0,118.9,118.9,,,,
RetailStandalone:QC_Quebec:NECB2015,a4286a91-da86-4483-a320-e6170b68c795,2023-02-16T22:55:04.484Z,2023-02-16T23:00:01.452Z,completed,completed normal,,,RetailStandalone,QC_Quebec,NECB2015,CWEC2016,501600.0,0.0,218.6,218.6,,,,
MidriseApartment:AB_Edmonton:NECB2015,de40c7d3-fb47-40ab-9b05-a7cb3d8da5de,2023-02-16T23:56:25.723Z,2023-02-17T00:03:34.936Z,completed,completed normal,,,MidriseApartment,AB_Edmonton,NECB2015,CWEC2016,219900.0,410000.0,201.0,201.0,,,,
QuickServiceRestaurant:ON_Toronto:NECB2020,0f926f84-d530-4007-a0f9-5643df8e68ac,2023-02-17T00:26:44.489Z,2023-02-17T00:31:20.185Z,completed,completed normal,,,QuickServiceRestaurant,ON_Toronto,NECB2020,CWEC2016,37810.0,28890.0,287.1,287.1,,,,
LargeOffice:SK_Saskatoon:NECB2011,c83daa10-352d-4a04-9a72-5e81c7400082,2023-02-17T00:52:59.199Z,2023-02-17T00:59:14.503Z,completed,completed normal,,,LargeOffice,SK_Saskatoon,NECB2011,CWEC2016,3942000.0,2155000.0,131.6,131.6,,,,
RetailStandalone:ON_Windsor:NECB2015,ad001326-8b60-40d8-a142-a60e835fd51f,2023-02-16T22:55:33.083Z,2023-02-16T23:00:27.438Z,completed,completed normal,,,RetailStandalone,ON_Windsor,NECB2015,CWEC2016,322100.0,201200.0,228.1,228.1,,,,
Warehouse:YT_Whitehorse:NECB2015,e674aa57-91b3-4759-a86e-dc136e820e0d,2023-02-16T22:15:34.226Z,2023-02-16T22:20:30.737Z,completed,completed normal,,,Warehouse,YT_Whitehorse,NECB2015,CWEC2016,330200.0,0.0,68.3,68.3,,,,
FullServiceRestaurant:NS_Halifax.Dockyard:NECB2017,ddb7ba32-2ce4-460d-81d5-f3c3102aa7b5,2023-02-16T23:48:21.681Z,2023-02-16T23:52:52.815Z,completed,completed normal,,,FullServiceRestaurant,NS_Halifax.Dockyard,NECB2017,CWEC2016,77960.0,153100.0,452.1,452.1,,,,
Warehouse:NL_St.Johns:NECB2015,a8bed8b9-3c2a-4924-9722-ee36beede659,2023-02-16T22:04:37.647Z,2023-02-16T22:10:54.426Z,completed,completed normal,,,Warehouse,NL_St.Johns,NECB2015,CWEC2016,596900.0,0.0,123.5,123.5,,,,
FullServiceRestaurant:ON_Toronto:NECB2015,bb54cb3f-0c2f-4f5a-bf7c-f1d902de9906,2023-02-16T23:50:52.084Z,2023-02-16T23:55:39.034Z,completed,completed normal,,,FullServiceRestaurant,ON_Toronto,NECB2015,CWEC2016,80730.0,294500.0,734.1,734.1,,,,
QuickServiceRestaurant:YT_Whitehorse:NECB2017,ab31bea0-9448-4866-bb2f-f3cc5b0ecac2,2023-02-17T00:30:52.678Z,2023-02-17T00:35:41.258Z,completed,completed normal,,,QuickServiceRestaurant,YT_Whitehorse,NECB2017,CWEC2016,165400.0,0.0,711.9,711.9,,,,
FullServiceRestaurant:QC_Montreal:NECB2020,176edd3c-9dd6-45db-a589-7d82c7bfea59,2023-02-16T23:51:35.027Z,2023-02-16T23:56:25.187Z,completed,completed normal,,,FullServiceRestaurant,QC_Montreal,NECB2020,CWEC2016,141400.0,0.0,276.7,276.7,,,,
RetailStripmall:QC_Montreal:NECB2011,db92bcce-439a-4025-b2ed-9866f06c1e62,2023-02-16T23:35:54.689Z,2023-02-16T23:40:51.844Z,completed,completed normal,,,RetailStripmall,QC_Montreal,NECB2011,CWEC2016,529300.0,0.0,253.2,253.2,,,,
MediumOffice:MB_Winnipeg:NECB2017,1d7f4da2-dcdb-4981-b569-c93ee9e20328,2023-02-16T23:07:32.240Z,2023-02-16T23:15:54.594Z,completed,completed normal,,,MediumOffice,MB_Winnipeg,NECB2017,CWEC2016,576800.0,0.0,115.8,115.8,,,,
MediumOffice:BC_Vancouver:NECB2020,09ed3328-e6b2-467d-96dd-5e08ef1a1324,2023-02-16T23:02:02.290Z,2023-02-16T23:12:13.597Z,completed,completed normal,,,MediumOffice,BC_Vancouver,NECB2020,CWEC2016,456600.0,0.0,91.65,91.65,,,,
QuickServiceRestaurant:YT_Whitehorse:NECB2020,6dce3e5a-2dd0-4d99-96c0-2e3095663067,2023-02-17T00:30:54.824Z,2023-02-17T00:35:49.914Z,completed,completed normal,,,QuickServiceRestaurant,YT_Whitehorse,NECB2020,CWEC2016,68190.0,0.0,293.5,293.5,,,,
MediumOffice:AB_Calgary:NECB2011,40f3aa51-2477-4c07-af52-938de8870c55,2023-02-16T22:59:12.946Z,2023-02-16T23:05:54.177Z,completed,completed normal,,,MediumOffice,AB_Calgary,NECB2011,CWEC2016,416500.0,203300.0,124.4,124.4,,,,
QuickServiceRestaurant:NS_Halifax.Dockyard:NECB2020,0f75f77e-5628-4b36-ba8d-991f1166ea72,2023-02-17T00:25:09.850Z,2023-02-17T00:29:57.586Z,completed,completed normal,,,QuickServiceRestaurant,NS_Halifax.Dockyard,NECB2020,CWEC2016,35380.0,25380.0,261.5,261.5,,,,
LargeOffice:BC_Victoria:NECB2017,12a52f94-f8f9-4c23-9507-58d1ab698bbc,2023-02-17T00:35:41.774Z,2023-02-17T00:42:29.531Z,completed,completed normal,,,LargeOffice,BC_Victoria,NECB2017,CWEC2016,4341000.0,0.0,93.71,93.71,,,,
RetailStripmall:AB_Fort.McMurray:NECB2011,cba29f01-c6e2-4b92-81c8-00db3fea1823,2023-02-16T23:27:08.754Z,2023-02-16T23:31:10.940Z,completed,completed normal,,,RetailStripmall,AB_Fort.McMurray,NECB2011,CWEC2016,287500.0,277300.0,270.2,270.2,,,,
QuickServiceRestaurant:ON_Windsor:NECB2020,4eb83802-6f69-4d26-908b-f842eb91996e,2023-02-17T00:29:58.137Z,2023-02-17T00:34:53.407Z,completed,completed normal,,,QuickServiceRestaurant,ON_Windsor,NECB2020,CWEC2016,38690.0,26080.0,278.8,278.8,,,,
SmallOffice:NT_Yellowknife:NECB2017,bf3237fa-2f3e-4347-ac3a-d2ebd770aad3,2023-02-16T22:27:40.076Z,2023-02-16T22:34:08.254Z,completed,completed normal,,,SmallOffice,NT_Yellowknife,NECB2017,CWEC2016,63530.0,0.0,124.3,124.3,,,,
Warehouse:AB_Fort.McMurray:NECB2017,b2d1767c-8bb9-41eb-9c81-06900e140469,2023-02-16T21:58:26.515Z,2023-02-16T22:05:47.371Z,completed,completed normal,,,Warehouse,AB_Fort.McMurray,NECB2017,CWEC2016,205900.0,348500.0,114.7,114.7,,,,
SmallOffice:NS_Halifax.Dockyard:NECB2015,e45ad05e-1868-4e2a-a8b2-3d20e1fab990,2023-02-16T22:24:55.377Z,2023-02-16T22:31:46.927Z,completed,completed normal,,,SmallOffice,NS_Halifax.Dockyard,NECB2015,CWEC2016,49430.0,19210.0,134.3,134.3,,,,
Warehouse:NS_Halifax.Dockyard:NECB2015,0aa46a0e-23b7-4647-be53-513ffb24c435,2023-02-16T22:05:07.215Z,2023-02-16T22:11:30.294Z,completed,completed normal,,,Warehouse,NS_Halifax.Dockyard,NECB2015,CWEC2016,292700.0,259800.0,114.3,114.3,,,,
LargeOffice:QC_Quebec:NECB2020,e0d99b93-4d98-4b9a-97c3-fd8002474560,2023-02-17T00:51:00.331Z,2023-02-17T00:57:11.823Z,completed,completed normal,,,LargeOffice,QC_Quebec,NECB2020,CWEC2016,4337000.0,0.0,93.63,93.63,,,,
RetailStripmall:NS_Halifax.Dockyard:NECB2017,333d4f87-2148-4002-ba59-8e2179c4fbe7,2023-02-16T23:33:00.956Z,2023-02-16T23:38:03.881Z,completed,completed normal,,,RetailStripmall,NS_Halifax.Dockyard,NECB2017,CWEC2016,244700.0,143000.0,185.5,185.5,,,,
RetailStandalone:YT_Whitehorse:NECB2017,cfedbcd0-c18d-4402-ae88-391db7bb043a,2023-02-16T22:58:37.051Z,2023-02-16T23:03:42.263Z,completed,completed normal,,,RetailStandalone,YT_Whitehorse,NECB2017,CWEC2016,319300.0,0.0,139.2,139.2,,,,
MediumOffice:NT_Yellowknife:NECB2015,d1cd7b2d-bb69-4541-97f2-1d5f3d1b465e,2023-02-16T23:13:39.417Z,2023-02-16T23:21:20.018Z,completed,completed normal,,,MediumOffice,NT_Yellowknife,NECB2015,CWEC2016,634400.0,0.0,127.3,127.3,,,,
Warehouse:AB_Calgary:NECB2020,1c117a3a-6f70-4fc8-8b13-ba9f53582966,2023-02-16T21:58:25.642Z,2023-02-16T22:05:43.753Z,completed,completed normal,,,Warehouse,AB_Calgary,NECB2020,CWEC2016,240800.0,370300.0,126.4,126.4,,,,
Warehouse:ON_Toronto:NECB2011,29821906-e11c-475c-bae7-2929ac427d2d,2023-02-16T22:09:00.190Z,2023-02-16T22:14:25.067Z,completed,completed normal,,,Warehouse,ON_Toronto,NECB2011,CWEC2016,350700.0,304900.0,135.6,135.6,,,,
LargeOffice:BC_Victoria:NECB2015,6dd894e8-0701-4004-be6c-e80b4c660544,2023-02-17T00:35:29.646Z,2023-02-17T00:42:10.222Z,completed,completed normal,,,LargeOffice,BC_Victoria,NECB2015,CWEC2016,4629000.0,0.0,99.94,99.94,,,,
Warehouse:NS_Halifax.Dockyard:NECB2011,7038a8ac-490c-437a-8bb0-b2ecdb9b0993,2023-02-16T22:04:59.656Z,2023-02-16T22:11:11.671Z,completed,completed normal,,,Warehouse,NS_Halifax.Dockyard,NECB2011,CWEC2016,297800.0,258100.0,115.0,115.0,,,,
RetailStripmall:ON_Windsor:NECB2015,76c783e0-57a5-4be1-bf2a-3990d3c56753,2023-02-16T23:38:38.793Z,2023-02-16T23:43:26.494Z,completed,completed normal,,,RetailStripmall,ON_Windsor,NECB2015,CWEC2016,329100.0,215800.0,260.7,260.7,,,,
RetailStandalone:BC_Vancouver:NECB2017,5721b115-9b4c-4691-9f0e-c25ebbfc3c70,2023-02-16T22:40:23.752Z,2023-02-16T22:49:48.535Z,completed,completed normal,,,RetailStandalone,BC_Vancouver,NECB2017,CWEC2016,322100.0,0.0,140.4,140.4,,,,
FullServiceRestaurant:ON_Windsor:NECB2020,95e563b1-5d8b-4536-bbd9-4929847745d2,2023-02-16T23:54:41.533Z,2023-02-16T23:59:10.910Z,completed,completed normal,,,FullServiceRestaurant,ON_Windsor,NECB2020,CWEC2016,66710.0,87160.0,301.0,301.0,,,,
MidriseApartment:BC_Vancouver:NECB2020,f6d7fd62-a0f5-48e9-9260-290a3dd1ccee,2023-02-16T23:59:35.651Z,2023-02-17T00:06:41.369Z,completed,completed normal,,,MidriseApartment,BC_Vancouver,NECB2020,CWEC2016,409000.0,0.0,130.5,130.5,,,,
QuickServiceRestaurant:AB_Calgary:NECB2015,3988cc75-73d7-448a-964f-522031e8d828,2023-02-17T00:16:38.313Z,2023-02-17T00:20:07.401Z,completed,completed normal,,,QuickServiceRestaurant,AB_Calgary,NECB2015,CWEC2016,46820.0,217800.0,1139.0,1139.0,,,,
QuickServiceRestaurant:ON_Windsor:NECB2011,3cec83da-c0ff-444c-bf5e-db55cc5d49f7,2023-02-17T00:29:38.349Z,2023-02-17T00:33:51.131Z,completed,completed normal,,,QuickServiceRestaurant,ON_Windsor,NECB2011,CWEC2016,53760.0,174300.0,981.6,981.6,,,,
