Location, Standard building type,  Electricity_EndUse (GJ),Elec_EF (gCO2eq/kWh), NaturalGas_EndUse (GJ), NaturalGas_EF (gCO2eq/MJ), total_emissions (tCO2eq)}
Ottawa=Macdonald-Cartier Intl AP , Warehouse, 919.9, 31.91 , 1049.37 , 50.33, 60.97 
Location, Standard building type,  Electricity_EndUse (GJ),EnergyStar_electricity_emission_factor (kg CO2eq/GJ), NaturalGas_EndUse (GJ), NaturalGas_EF (kg CO2eq/GJ), total_emissions (tCO2eq)}
Ottawa=Macdonald-Cartier Intl AP , Warehouse, 919.9, 5.5542083388286985 , 1049.37 , 49.41918477585807, 56.97 
Location, Standard building type,  Electricity_EndUse (GJ),Elec_EF (gCO2eq/kWh), NaturalGas_EndUse (GJ), NaturalGas_EF (gCO2eq/MJ), total_emissions (tCO2eq)}
Ottawa=Macdonald-Cartier Intl AP , Warehouse, 919.9, 31.91 , 1049.37 , 50.33, 60.97 
Location, Standard building type,  Electricity_EndUse (GJ),EnergyStar_electricity_emission_factor (kg CO2eq/GJ), NaturalGas_EndUse (GJ), NaturalGas_EF (kg CO2eq/GJ), total_emissions (tCO2eq)}
Ottawa=Macdonald-Cartier Intl AP , Warehouse, 919.9, 5.5542083388286985 , 1049.37 , 49.41918477585807, 56.97 
