name,_id,run_start_time,run_end_time,status,status_message,nrc_create_necb_prototype_building.building_type,nrc_create_necb_prototype_building.epw_file,nrc_create_necb_prototype_building.template,nrc_report_utility_costs.total_site_energy,openstudio_results.eui
MediumOfficeNS_HalifaxNECB2015,b7fee227-034c-4c8c-a85d-dbf0be0d70d3,2021-12-24T16:21:28.005Z,2021-12-24T16:26:18.253Z,completed,completed normal,MediumOffice,NS_Halifax,NECB2015,764100,153.3612729
FullServiceRestaurantNT_YellowknifeNECB2020,b8537280-f4f7-49bf-9b42-c58ff5bb416e,2021-12-24T16:53:39.384Z,2021-12-24T16:56:22.496Z,completed,completed normal,FullServiceRestaurant,NT_Yellowknife,NECB2020,221200,432.7442477
WarehouseAB_CalgaryNECB2015,b8763bb3-e78b-465f-b086-b3701a961100,2021-12-24T15:42:43.884Z,2021-12-24T15:45:22.913Z,completed,completed normal,Warehouse,AB_Calgary,NECB2015,637400,131.8193904
MidriseApartmentNB_FrederictonNECB2015,b924527c-abf0-4ee6-8df5-71319de7b18b,2021-12-24T17:04:51.568Z,2021-12-24T17:12:43.810Z,completed,completed normal,MidriseApartment,NB_Fredericton,NECB2015,610900,194.876272
SmallOfficeNS_Sydney-McCurdyNECB2020,b92a7fe6-7ef6-4f69-8a1e-d8da503365b1,2021-12-24T15:57:47.902Z,2021-12-24T16:00:40.794Z,completed,completed normal,SmallOffice,NS_Sydney-McCurdy,NECB2020,61440,120.2004591
MidriseApartmentNL_St.JohnsNECB2011,b961435b-5632-46aa-b5d3-8eaee00b2201,2021-12-24T17:05:32.084Z,2021-12-24T17:11:13.154Z,completed,completed normal,MidriseApartment,NL_St.Johns,NECB2011,438200,139.782585
LargeOfficeON_WindsorNECB2015,b9ad7980-4b3b-45b9-9cc6-94bdb84f9025,2021-12-24T17:55:19.985Z,2021-12-24T18:01:20.002Z,completed,completed normal,LargeOffice,ON_Windsor,NECB2015,5653000,122.041613
QuickServiceRestaurantAB_Fort.McMurrayNECB2011,ba1d7e96-665c-47b6-8a8e-cc3de4a357fe,2021-12-24T17:28:21.639Z,2021-12-24T17:30:34.683Z,completed,completed normal,QuickServiceRestaurant,AB_Fort.McMurray,NECB2011,340100,1463.994338
RetailStandaloneNT_Inuvik-ZubkoNECB2011,ba9e0f8b-f36d-4846-ab5b-221e3b05e7ff,2021-12-24T16:08:48.430Z,2021-12-24T16:11:33.850Z,completed,completed normal,RetailStandalone,NT_Inuvik-Zubko,NECB2011,637300,277.8201591
MediumOfficeAB_Fort.McMurrayNECB2017,baa0eef4-dec0-4a82-a80c-2b25dad95025,2021-12-24T16:16:45.646Z,2021-12-24T16:21:55.083Z,completed,completed normal,MediumOffice,AB_Fort.McMurray,NECB2017,721400,144.8013379
FullServiceRestaurantYT_WhitehorseNECB2015,baa9c6e1-6a2f-45e6-be5e-f8c899215600,2021-12-24T16:57:03.423Z,2021-12-24T16:59:08.381Z,completed,completed normal,FullServiceRestaurant,YT_Whitehorse,NECB2015,409700,801.5314052
RetailStandaloneON_Sault.Ste.MarieNECB2011,baedd485-708e-4587-b333-ac63381bc53f,2021-12-24T16:11:51.842Z,2021-12-24T16:14:12.991Z,completed,completed normal,RetailStandalone,ON_Sault.Ste.Marie,NECB2011,557100,242.8459196
RetailStripmallON_WindsorNECB2020,bb1018ec-b0ae-44e9-b990-b426eea69b78,2021-12-24T16:43:23.416Z,2021-12-24T16:46:25.260Z,completed,completed normal,RetailStripmall,ON_Windsor,NECB2020,428300,204.8888846
MediumOfficeAB_Fort.McMurrayNECB2015,bb1c2525-ad4d-49f3-a0c9-3dfe3cdb957b,2021-12-24T16:16:38.467Z,2021-12-24T16:21:12.984Z,completed,completed normal,MediumOffice,AB_Fort.McMurray,NECB2015,776300,155.821146
FullServiceRestaurantNT_YellowknifeNECB2011,bb728d6a-48ec-4581-93d7-9fb28d64f3a3,2021-12-24T16:52:33.782Z,2021-12-24T16:54:50.598Z,completed,completed normal,FullServiceRestaurant,NT_Yellowknife,NECB2011,508300,994.3591248
LargeOfficeAB_CalgaryNECB2017,bbd3d70e-6dfd-42a5-9e81-68ea73e3f82d,2021-12-24T17:38:06.022Z,2021-12-24T17:50:03.939Z,completed,completed normal,LargeOffice,AB_Calgary,NECB2017,5040000,108.8017005
RetailStripmallQC_QuebecNECB2020,bc51ac45-26d8-4d69-ab30-e778f8810205,2021-12-24T16:44:13.870Z,2021-12-24T16:47:15.676Z,completed,completed normal,RetailStripmall,QC_Quebec,NECB2020,408400,195.3993753
RetailStandaloneNS_HalifaxNECB2020,bcc4eda5-19e2-4f78-a21b-1c4eed63b4ec,2021-12-24T16:08:12.818Z,2021-12-24T16:11:38.650Z,completed,completed normal,RetailStandalone,NS_Halifax,NECB2020,341300,148.7873385
RetailStandaloneNS_YarmouthNECB2011,bd0b7984-a19d-493b-a478-b368d39e3634,2021-12-24T16:08:32.037Z,2021-12-24T16:11:16.189Z,completed,completed normal,RetailStandalone,NS_Yarmouth,NECB2011,496400,216.4060581
MediumOfficeSK_SaskatoonNECB2017,bd434886-1fb2-4844-9acc-51745cf3acf8,2021-12-24T16:31:50.626Z,2021-12-24T16:37:05.110Z,completed,completed normal,MediumOffice,SK_Saskatoon,NECB2017,734700,147.4663864
MediumOfficeBC_VancouverNECB2017,be015787-564e-4911-82e8-b566e266d002,2021-12-24T16:17:17.019Z,2021-12-24T16:21:39.969Z,completed,completed normal,MediumOffice,BC_Vancouver,NECB2017,615000,123.4424799
FullServiceRestaurantBC_VictoriaNECB2017,be24591f-3f5a-480a-ac5e-b35652a47374,2021-12-24T16:49:26.191Z,2021-12-24T16:52:01.444Z,completed,completed normal,FullServiceRestaurant,BC_Victoria,NECB2017,164300,321.3559838
RetailStripmallNL_St.JohnsNECB2017,be580e18-1145-432d-8403-86605d6000d5,2021-12-24T16:38:38.507Z,2021-12-24T16:41:19.870Z,completed,completed normal,RetailStripmall,NL_St.Johns,NECB2017,388300,185.7623607
MidriseApartmentQC_Saguenay-BagotvilleNECB2020,bf29e412-58de-4d3f-9d03-50b18bd0c68d,2021-12-24T17:21:50.843Z,2021-12-24T17:28:46.349Z,completed,completed normal,MidriseApartment,QC_Saguenay-Bagotville,NECB2020,504600,160.978736
MidriseApartmentMB_Winnipeg-RichardsonNECB2020,bfc6db1c-aef6-4ebe-b3bb-d61c15b8d833,2021-12-24T17:04:35.979Z,2021-12-24T17:12:13.015Z,completed,completed normal,MidriseApartment,MB_Winnipeg-Richardson,NECB2020,532800,169.9697535
RetailStandaloneNT_Inuvik-ZubkoNECB2015,bfcd2a32-536f-4add-a593-e0feeaf237f7,2021-12-24T16:08:58.835Z,2021-12-24T16:12:00.215Z,completed,completed normal,RetailStandalone,NT_Inuvik-Zubko,NECB2015,633500,276.1576022
