IATA_ID,Name,Updated Name,WMO_ID,MSC_ID,Latitude,Longitude,Elevation(m),Data_Provider,Dataset/Network,AUTO/MAN,Province/Territory
CPPR,PRINCE ALBERT GLASS FIELD,Prince Albert Glass Field,73002,4056243,53.210207,-105.676677,426.629,MSC,CA,AUTO,Saskatchewan
CPPT,PATRICIA AGCM,Patricia Agcm,,3025013,50.74002,-111.621,726,GovAB,CA,AUTO,Alberta
CPPV,PLEASANT VIEW,Pleasant View,,3065200,54.963894,-113.320578,649,GovAB,CA,AUTO,Alberta
CPQD,THE PAS CLIMATE,The Pas Climate,71695,5052890,53.974776,-101.088925,273.69,MSC,CA,AUTO,Manitoba
CPQL,LETHBRIDGE DEMO FARM AGDM,Lethbridge Demo Farm Agdm,71509,3033897,49.683333,-112.75,903,GovAB,CA,AUTO,Alberta
CPQU,QUEENSTOWN,Queenstown,71073,3035342,50.597781,-112.803347,941,GovAB,CA,AUTO,Alberta
CPQW,NORTH BATTLEFORD RCS,North Battleford Rcs,71754,4045607,52.76931,-108.250355,544.687,MSC,CA,AUTO,Saskatchewan
CPRA,RIVERCOURSE AGCM,Rivercourse Agcm,71102,3015501,53.01889,-110.101945,669,GovAB,CA,AUTO,Alberta
CPRD,PRIDDIS OBSERVATORY,Priddis Observatory,,3033505,50.869167,-114.291667,1267,GovAB,CA,AUTO,Alberta
CPRE,RAINIER AGCM,Rainier Agcm,,3035355,50.366667,-112.116667,765,GovAB,CA,AUTO,Alberta
CPRF,RYCROFT AGCM,Rycroft Agcm,71546,3075601,55.776668,-118.668056,575,GovAB,CA,AUTO,Alberta
CPRH,ROLLING HILLS AGCM,Rolling Hills Agcm,71105,3035530,50.265002,-111.701111,645,GovAB,CA,AUTO,Alberta
CPRJ,YORKTON RCS,Yorkton Rcs,71886,4019073,51.260108,-102.461547,498.4,MSC,CA,AUTO,Saskatchewan
CPRL,ROSALIND AGCM,Rosalind Agcm,71202,3015600,52.792269,-112.422369,712,GovAB,CA,AUTO,Alberta
CPRO,ROSEMARY AGDM,Rosemary Agdm,71537,3035650,50.833333,-112.05,714,GovAB,CA,AUTO,Alberta
CPRR,MILK RIVER RIDGE RESERVOIR,Milk River Ridge Reservoir,71015,3044545,49.283889,-112.538333,1305,GovAB,CA,AUTO,Alberta
CPRS,RIBSTONE SOUTH AGCM,Ribstone South Agcm,71089,3015480,52.586945,-110.342779,644,GovAB,CA,AUTO,Alberta
CPRV,ROMA,Roma,73104,3075043,56.193322,-117.451958,560.18,MSC,CA,AUTO,Alberta
CPRY,RAYMOND AGDM,Raymond Agdm,71536,3035422,49.483333,-112.683333,937,GovAB,CA,AUTO,Alberta
CPSA,SEDALIA AGCM,Sedalia Agcm,71399,3015797,51.59028,-110.754723,755,GovAB,CA,AUTO,Alberta
CPSD,STANDARD AGCM,Standard Agcm,71440,3036086,51.228335,-112.981946,901,GovAB,CA,AUTO,Alberta
CPSH,SHONTS AGCM,Shonts Agcm,71405,3015900,53.3325,-112.539446,679,GovAB,CA,AUTO,Alberta
CPSL,ST. LINA AGCM,St. Lina Agcm,71548,3015673,54.282223,-111.453057,619,GovAB,CA,AUTO,Alberta
CPSP,SPONDIN AGCM,Spondin Agcm,71413,3016070,51.815836,-111.682501,804,GovAB,CA,AUTO,Alberta
CPSQ,SWEETGRASS LANDING,Sweetgrass Landing,,3076330,58.852889,-111.997,212,MSC,CA,AUTO,Alberta
CPSR,ST. ALBERT RESEARCH STATION,St. Albert Research Station,,3025750,53.691944,-113.619722,687,GovAB,CA,AUTO,Alberta
CPST,STRATHMORE AGDM,Strathmore Agdm,71526,3036205,51.033333,-113.283333,967,GovAB,CA,AUTO,Alberta
CPSU,SIOUX FALLS CLIMATE,Sioux Falls Climate,71168,9052008,43.73353,-96.623436,483.02,MSC,CA,AUTO,
CPSV,SEVEN PERSONS AGDM,Seven Persons Agdm,71525,3035845,49.916667,-110.916667,766,GovAB,CA,AUTO,Alberta
CPSW,SAVANNA AGCM,Savanna Agcm,71547,3075770,56.076112,-119.344724,703,GovAB,CA,AUTO,Alberta
CPSY,KINDERSLEY AIRPORT,Kindersley Airport,73097,4043902,51.51612,-109.177866,692.551,MSC,CA,AUTO,Saskatchewan
CPTA,TAWATINAW AGCM,Tawatinaw Agcm,71549,3066367,54.299725,-113.520278,611,GovAB,CA,AUTO,Alberta
CPTC,TEEPEE CREEK AGCM,Teepee Creek Agcm,71690,3076366,55.352224,-118.407501,670,GovAB,CA,AUTO,Alberta
CPTE,TIDE LAKE AGCM,Tide Lake Agcm,,3036485,50.45557,-111.3214,766,GovAB,CA,AUTO,Alberta
CPTG,KLEEFELD (MAFRI),Kleefeld (Mafri),71646,5021500,49.529669,-96.915459,246.183,MSC,CA,AUTO,Manitoba
CPTH,THORSBY AGCM,Thorsby Agcm,71504,3016441,53.217224,-113.894724,754,GovAB,CA,AUTO,Alberta
CPTO,THOMPSON AIRPORT,Thompson Airport,73072,5062918,55.79882,-97.87659,226.5,MSC,CA,AUTO,Manitoba
CPTU,TULLIBY LAKE AGCM,Tulliby Lake Agcm,71857,3016593,53.664169,-110.080835,596,GovAB,CA,AUTO,Alberta
CPUN,PILGER,Pilger,71655,4056121,52.41898,-105.153086,558.981,MSC,CA,AUTO,Saskatchewan
CPVA,VIKING AGCM,Viking Agcm,71888,3016841,53.182222,-111.731667,711,GovAB,CA,AUTO,Alberta
CPVI,VILNA AGCM,Vilna Agcm,71761,3016852,54.13,-111.92139,645,GovAB,CA,AUTO,Alberta
CPVR,VERGER,Verger,,3026800,50.895021,-111.955006,723,GovAB,CA,AUTO,Alberta
CPWB,WIMBORNE AGCM,Wimborne Agcm,71904,3027582,51.935836,-113.590834,940,GovAB,CA,AUTO,Alberta
CPWT,WETASKIWIN AGCM,Wetaskiwin Agcm,71895,3017282,52.98028,-113.444168,774,GovAB,CA,AUTO,Alberta
CPWX,WASECA RCS,Waseca Rcs,71663,4048521,53.131451,-109.405481,645.27,MSC,CA,AUTO,Saskatchewan
CPX1,PIBROCH AGCM,Pibroch Agcm,,301X001,54.30808,-113.820558,621,GovAB,CA,AUTO,Alberta
CPXB,BUFFALO AGCM,Buffalo Agcm,,3020950,50.7981,-110.68558,723,GovAB,CA,AUTO,Alberta
CPXC,BLACKIE AGCM,Blackie Agcm,,3030690,50.545579,-113.640278,1019,GovAB,CA,AUTO,Alberta
CPXH,HAND HILLS AGCM,Hand Hills Agcm,,3022990,51.4525,-112.1352,941,GovAB,CA,AUTO,Alberta
CPXS,SHEERNESS AGCM,Sheerness Agcm,,3025890,51.46278,-111.6464,852,GovAB,CA,AUTO,Alberta
CPXX,RALSTON AGCM,Ralston Agcm,,3035362,50.0991,-111.21308,770,GovAB,CA,AUTO,Alberta
CPXZ,LETHBRIDGE AGTECH AGCM,Lethbridge Agtech Agcm,,3033877,49.647222,-112.7625,918,GovAB,CA,AUTO,Alberta
CPYQ,CHURCHILL CLIMATE,Churchill Climate,71696,5060608,58.739375,-94.075125,30,MSC,CA,AUTO,Manitoba
CPYS,YELLOW GRASS NORTH,Yellow Grass North,73001,4019041,49.820245,-104.181048,578.506,MSC,CA,AUTO,Saskatchewan
CPYT,YOUNGSTOWN AGCM,Youngstown Agcm,,3017705,51.490557,-111.223613,800,GovAB,CA,AUTO,Alberta
CPZC,CAMPSIE AUTO,Campsie Auto,71636,3061201,54.1306,-114.6776,648,MSC,CA,AUTO,Alberta
CPZH,SLAVE LAKE RCS,Slave Lake Rcs,71693,3065997,55.296486,-114.78445,584,MSC,CA,AUTO,Alberta
CPZK,KIRRIEMUIR AGCM,Kirriemuir Agcm,,3023660,51.913078,-110.358915,711,GovAB,CA,AUTO,Alberta
CPZL,LATHOM AGCM,Lathom Agcm,,3033770,50.60029,-112.298903,810,GovAB,CA,AUTO,Alberta
CPZN,PINHORN AGCM,Pinhorn Agcm,,3045100,49.028895,-111.025017,1061,GovAB,CA,AUTO,Alberta
CPZW,WARNER AGCM,Warner Agcm,,3046951,49.282792,-112.160296,1004,GovAB,CA,AUTO,Alberta
CTAG,FORT FRANCES RCS,Fort Frances Rcs,71962,6022474,48.65118,-93.43896,345.2,MSC,CA,AUTO,Ontario
CTBF,BRANTFORD AIRPORT,Brantford Airport,71602,6140942,43.13733,-80.331275,246.941,MSC,CA,AUTO,Ontario
CTBO,BROCKVILLE CLIMATE,Brockville Climate,71161,6100970,44.635233,-75.751617,122.425,MSC,CA,AUTO,Ontario
CTBT,BEATRICE CLIMATE,Beatrice Climate,71694,6110607,45.135713,-79.398931,285.168,MSC,CA,AUTO,Ontario
CTCK,MOOSE CREEK WELLS,Moose Creek Wells,71635,6105397,45.251208,-74.962869,85.725,MSC,CA,AUTO,Ontario
CTGT,GUELPH TURFGRASS,Guelph Turfgrass,71833,6143089,43.547258,-80.215061,326.6,MSC,CA,AUTO,Ontario
CTKG,KINGSTON CLIMATE,Kingston Climate,71820,6104142,44.218,-76.595,113.3,MSC,CA,AUTO,Ontario
CTKR,KENORA RCS,Kenora Rcs,71151,6034073,49.790497,-94.361239,412.544,MSC,CA,AUTO,Ontario
CTLS,LAKE SUPERIOR PROVINCIAL PARK,Lake Superior Provincial Park,71640,6054425,47.723175,-84.813978,400.274,MSC,CA,AUTO,Ontario
CTMS,TIMMINS CLIMATE,Timmins Climate,71193,6078282,48.568,-81.378,296,MSC,CA,AUTO,Ontario
CTNK,ALGONQUIN PARK EAST GATE,Algonquin Park East Gate,71581,6080192,45.535689,-78.261698,400.078,MSC,CA,AUTO,Ontario
CTPM,PEMBROKE,Pembroke,71196,6106367,45.86007,-77.252387,161.521,MSC,CA,AUTO,Ontario
CTPQ,PETERBOROUGH TRENT U,Peterborough Trent U,71672,6166456,44.351,-78.295,217.2,MSC,CA,AUTO,Ontario
CTRA,RAWSON LAKE (AUT),Rawson Lake (Aut),71855,6036907,49.6642,-93.7328,433.5,MSC,CA,AUTO,Ontario
CTRY,MONO CENTRE,Mono Centre,71098,6157000,44.032498,-80.024285,437.4,MSC,CA,AUTO,Ontario
CTSB,SUDBURY CLIMATE,Sudbury Climate,71733,6068145,46.6324,-80.796,350,MSC,CA,AUTO,Ontario
CTTR,TOBERMORY RCS,Tobermory Rcs,71767,6128330,45.22414,-81.635069,211.264,MSC,CA,AUTO,Ontario
CTUX,UXBRIDGE WEST,Uxbridge West,71932,6159123,44.098248,-79.163552,321.87,MSC,CA,AUTO,Ontario
CTWL,WELLAND-PELHAM,Welland-Pelham,71752,6139449,42.973197,-79.325323,180,MSC,CA,AUTO,Ontario
CTXR,EARLTON CLIMATE,Earlton Climate,71213,6072230,47.697482,-79.853365,245.4,MSC,CA,AUTO,Ontario
CTZE,GORE BAY CLIMATE,Gore Bay Climate,71956,6092920,45.889797,-82.572159,195.84,MSC,CA,AUTO,Ontario
CTZN,NORTH BAY AIRPORT,North Bay Airport,73016,6085695,46.372723,-79.423555,365.5,MSC,CA,AUTO,Ontario
CTZR,SARNIA CLIMATE,Sarnia Climate,71746,6127519,42.994835,-82.307414,181.612,MSC,CA,AUTO,Ontario
CVAS,ASHCROFT,Ashcroft,71681,1160515,50.7083,-121.2814,328.5,MSC,CA,AUTO,British Columbia
CVBB,DELTA BURNS BOG,Delta Burns Bog,71042,1102415,49.125992,-123.002436,4.6,MSC,CA,AUTO,British Columbia
CVBD,BELLA COOLA AIRPORT,Bella Coola Airport,71533,1060844,52.388507,-126.586783,37.9,MSC,CA,AUTO,British Columbia
CVBR,BURWASH AIRPORT AUTO,Burwash Airport Auto,71195,2100184,61.370132,-139.032477,802.5,MSC,CA,AUTO,Yukon
CVCL,CULTUS LAKE,Cultus Lake,,1102221,49.078938,-121.978702,45.7,MSC,CA,AUTO,British Columbia
CVCW,CLEARWATER AUTO,Clearwater Auto,71645,1161650,51.652609,-120.082309,455.978,MSC,CA,AUTO,British Columbia
CVFN,FORT NELSON,Fort Nelson,71594,1192948,58.841389,-122.574167,380.4,MSC,CA,AUTO,British Columbia
CVFS,FORT ST JAMES AUTO,Fort St James Auto,71933,1092975,54.4553,-124.2856,678,MSC,CA,AUTO,British Columbia
CVGE,GOLDEN AIRPORT,Golden Airport,71905,1173220,51.300275,-116.984435,787.935,MSC,CA,AUTO,British Columbia
CVKC,KITIMAT FOREST AVE,Kitimat Forest Ave,73007,1064324,54.056434,-128.604077,106.454,MSC,CA,AUTO,British Columbia
CVKU,KELOWNA UBCO,Kelowna Ubco,71644,1123996,49.9406,-119.4,458,MSC,CA,AUTO,British Columbia
CVLY,LYTTON RCS,Lytton Rcs,71765,1114746,50.2244,-121.5819,226.8,MSC,CA,AUTO,British Columbia
CVME,MERRITT,Merritt,71557,1125073,50.1125,-120.7781,592.5,MSC,CA,AUTO,British Columbia
CVOC,WHISTLER - NESTERS,Whistler - Nesters,71687,1100875,50.1289,-122.9546,661.8,MSC,CA,AUTO,British Columbia
CVOD,CALLAGHAN VALLEY,Callaghan Valley,71688,1101300,50.14405,-123.110608,887.2,MSC,CA,AUTO,British Columbia
CVOM,PORT MELLON,Port Mellon,71605,1046332,49.5263,-123.496211,131.5,MSC,CA,AUTO,British Columbia
CVOO,NORTH COWICHAN,North Cowichan,71927,1015630,48.824209,-123.718917,46.8,MSC,CA,AUTO,British Columbia
CVOP,POWELL RIVER,Powell River,71720,1046392,49.8346,-124.4968,127,MSC,CA,AUTO,British Columbia
CVOQ,QUALICUM BEACH AIRPORT,Qualicum Beach Airport,71766,1026562,49.337222,-124.393889,60.2,MSC,CA,AUTO,British Columbia
CVOU,SECHELT AUT,Sechelt Aut,71638,1047172,49.458,-123.7153,89.2,MSC,CA,AUTO,British Columbia
CVPE,HOPE AIRPORT,Hope Airport,71114,1113543,49.3698,-121.4935,41,MSC,CA,AUTO,British Columbia
CVPX,PRINCE GEORGE MASSEY AUTO,Prince George Massey Auto,,1096454,53.90001,-122.790803,602.163,MSC,CA,AUTO,British Columbia
CVQZ,QUESNEL AIRPORT AUTO,Quesnel Airport Auto,71779,1096631,53.0267,-122.5064,546.2,MSC,CA,AUTO,British Columbia
CVRA,REVELSTOKE AIRPORT AUTO,Revelstoke Airport Auto,71882,1176755,50.958222,-118.176277,446.2,MSC,CA,AUTO,British Columbia
CVSA,SAANICHTON CFIA,Saanichton Cfia,73028,1016943,48.621733,-123.410233,25.5,MSC,CA,AUTO,British Columbia
CVSJ,FORT ST JOHN AIRPORT,Fort St John Airport,73090,1183002,56.247478,-120.750133,692.792,MSC,CA,AUTO,British Columbia
CVSL,OOTSA LAKE SKINS LAKE,Ootsa Lake Skins Lake,71679,1085836,53.771997,-125.996842,861.9,MSC,CA,AUTO,British Columbia
CVTF,TSAWWASSEN FERRY AUTO,Tsawwassen Ferry Auto,,1108291,49.0039,-123.1333,8.3,MSC,CA,AUTO,British Columbia
CVTS,SATURNA CAPMON,Saturna Capmon,71914,1017099,48.775203,-123.128286,179.5,MSC,CA,AUTO,British Columbia
CVVR,VANCOUVER SEA ISLAND CCG,Vancouver Sea Island Ccg,71608,1108380,49.182552,-123.187254,4.118,MSC,CA,AUTO,British Columbia
CVXC,CRANBROOK AIRPORT AUTO,Cranbrook Airport Auto,71660,1152106,49.61766,-115.789025,930.837,MSC,CA,AUTO,British Columbia
CVXS,PRINCE GEORGE AIRPORT AUTO,Prince George Airport Auto,71302,1096453,53.888996,-122.67208,681.6,MSC,CA,AUTO,British Columbia
CVXY,WHITEHORSE AUTO,Whitehorse Auto,71773,2101310,60.733208,-135.097817,714,MSC,CA,AUTO,Yukon
CVYD,SMITHERS AIRPORT AUTO,Smithers Airport Auto,71268,1077501,54.824275,-127.189264,519.997,MSC,CA,AUTO,British Columbia
CVZP,SANDSPIT AIRPORT AUTO,Sandspit Airport Auto,71101,1057051,53.249444,-131.813138,10.9,MSC,CA,AUTO,British Columbia
CVZY,MACKENZIE AIRPORT AUTO,Mackenzie Airport Auto,71944,1184793,55.30525,-123.137972,695,MSC,CA,AUTO,British Columbia
CWAE,Whistler,Whistler,,1048899,50.16667,-122.9,657.8,NAV CANADA,NC-HWOS,MAN,British Columbia
CWAF,ILE ROUGE,Ile Rouge,71426,7043BP9,48.068802,-69.555347,4.9,MSC,CA,AUTO,Quebec
CWAG,LA SCIE,La Scie,71337,8402520,49.9128,-55.6713,196,MSC,CA,AUTO,Newfoundland and Labrador
CWAJ,ERIEAU (AUT),Erieau (Aut),71465,613KLLM,42.2569,-81.9087,175.5,MSC,CA,AUTO,Ontario
CWAQ,CORONACH SPC,Coronach Spc,71516,40318MN,49.05,-105.4833,757.5,MSC,CA,AUTO,Saskatchewan
CWAS,HOWE SOUND - PAM ROCKS,Howe Sound - Pam Rocks,71211,10459NN,49.4879,-123.2995,8.643,MSC,CA,AUTO,British Columbia
CWAV,SUNDRE A,Sundre A,71248,3026KNQ,51.7781,-114.6825,1115.6,MSC,CA,AUTO,Alberta
CWAY,MOULD BAY CS,Mould Bay Cs,71989,250M001,76.23767,-119.347881,2.516,MSC,CA,AUTO,Northwest Territories
CWBA,BARRAGE TEMISCAMINGUE,Barrage Temiscamingue,71732,7080468,46.709657,-79.100838,182.4,MSC,CA,AUTO,Quebec
CWBD,INDIAN HEAD CDA,Indian Head Cda,71515,4013480,50.55,-103.65,580.6,MSC,CA,AUTO,Saskatchewan
CWBE,KILLARNEY (AUT),Killarney (Aut),71460,605DJ25,45.968166,-81.488831,189,MSC,CA,AUTO,Ontario
CWBJ,INNER WHALEBACKS,Inner Whalebacks,71162,2202560,61.920731,-113.726069,166.5,MSC,CA,AUTO,Northwest Territories
CWBK,CARIBOU POINT (AUT),Caribou Point (Aut),71415,8200774,45.7643,-62.680539,7,MSC,CA,AUTO,Nova Scotia
CWBM,BEAVERLODGE RCS,Beaverlodge Rcs,71230,3070600,55.1967,-119.3964,746.6,MSC,CA,AUTO,Alberta
CWBO,BROOKS,Brooks,71457,3030QLP,50.555337,-111.849428,748.1,MSC,CA,AUTO,Alberta
CWBS,LAC SAINT-PIERRE,Lac Saint-Pierre,71198,701LP0N,46.1833,-72.9167,16.2,MSC,CA,AUTO,Quebec
CWBT,LONGUE-POINTE-DE-MINGAN,Longue-Pointe-De-Mingan,71512,7044328,50.271508,-64.226628,11.215,MSC,CA,AUTO,Quebec
CWBU,NIPAWIN,Nipawin,71312,407N51G,53.3323,-104.0031,369.5,MSC,CA,AUTO,Saskatchewan
CWBV,BEAVER ISLAND (AUT),Beaver Island (Aut),71403,8200558,44.8248,-62.3379,7.5,MSC,CA,AUTO,Nova Scotia
CWBY,PORT-MENIER,Port-Menier,71810,7056202,49.838383,-64.29356,54.845,MSC,CA,AUTO,Quebec
CWBZ,ST-ANICET 1,St-Anicet 1,71712,702FQLF,45.120816,-74.289519,49.69,MSC,CA,AUTO,Quebec
CWCF,BERENS RIVER CS,Berens River Cs,71158,5030203,52.3597,-97.022,223.4,MSC,CA,AUTO,Manitoba
CWCH,ATIKOKAN (AUT),Atikokan (Aut),71747,6020LPQ,48.760936,-91.628253,389.27,MSC,CA,AUTO,Ontario
CWCI,CARIBOU ISLAND (AUT),Caribou Island (Aut),71433,6041222,47.33943,-85.826017,188.9,MSC,CA,AUTO,Ontario
CWCJ,PUKASKWA (AUT),Pukaskwa (Aut),71750,6046768,48.607722,-86.287361,191.559,MSC,CA,AUTO,Ontario
CWCO,COLLINGWOOD,Collingwood,71270,6111792,44.504863,-80.222797,180.209,MSC,CA,AUTO,Ontario
CWCT,CORONATION CLIMATE,Coronation Climate,71318,3011887,52.07427,-111.449205,790.98,MSC,CA,AUTO,Alberta
CWDA,ENGLEE (AUT),Englee (Aut),71417,8401538,50.7211,-56.1128,41,MSC,CA,AUTO,Newfoundland and Labrador
CWDC,URANIUM CITY (AUT),Uranium City (Aut),71076,406QLD0,59.560859,-108.47757,319.7,MSC,CA,AUTO,Saskatchewan
CWDE,LAC BENOIT,Lac Benoit,71520,706I001,51.5324,-71.1104,549,MSC,CA,AUTO,Quebec
CWDI,BADGER (AUT),Badger (Aut),71400,8400301,48.9667,-56.0667,110,MSC,CA,AUTO,Newfoundland and Labrador
CWDJ,REGINA RCS,Regina Rcs,71514,4016699,50.42691,-104.670143,577.422,MSC,CA,AUTO,Saskatchewan
CWDK,CLARESHOLM,Claresholm,71234,3031640,50.0036,-113.6406,1010.1,MSC,CA,AUTO,Alberta
CWDM,CHEVERY,Chevery,71814,7041382,50.464872,-59.639545,7.646,MSC,CA,AUTO,Quebec
CWDO,TWILLINGATE (AUT),Twillingate (Aut),71402,8404025,49.6833,-54.8,81,MSC,CA,AUTO,Newfoundland and Labrador
CWDP,MANOUANE EST,Manouane Est,71521,706I155,50.656472,-70.532028,497,MSC,CA,AUTO,Quebec
CWDQ,LA TUQUE,La Tuque,71378,707DBD4,47.410914,-72.787581,168.1,MSC,CA,AUTO,Quebec
CWDR,DISCOVERY ISLAND,Discovery Island,71031,1012475,48.4246,-123.225833,21.1,MSC,CA,AUTO,British Columbia
CWDT,CHUTE-DES-PASSES,Chute-Des-Passes,71522,7061541,49.840138,-71.168333,398.2,MSC,CA,AUTO,Quebec
CWDU,COP UPPER,Cop Upper,71235,3031875,51.0762,-114.2225,1236.2,MSC,CA,AUTO,Alberta
CWDV,UPSALA (AUT),Upsala (Aut),71435,6049095,49.036,-90.4613,485.5,MSC,CA,AUTO,Ontario
CWDW,ST ANTHONY,St Anthony,71558,8403399,51.38699,-56.089926,31.3,MSC,CA,AUTO,Newfoundland and Labrador
CWDZ,DRUMHELLER EAST,Drumheller East,71237,30221LG,51.4451,-112.6758,679.3,MSC,CA,AUTO,Alberta
CWEA,PINAWA,Pinawa,71448,503B1ER,50.1772,-96.0647,269.5,MSC,CA,AUTO,Manitoba
CWEB,ESTEVAN POINT CS,Estevan Point Cs,71894,1032731,49.3832,-126.5447,8,MSC,CA,AUTO,British Columbia
CWEC,WELCOME ISLAND (AUT),Welcome Island (Aut),71751,6049443,48.3692,-89.1194,212.353,MSC,CA,AUTO,Ontario
CWEE,CHAMOUCHOUANE,Chamouchouane,71523,7061288,49.278305,-73.355861,304.99,MSC,CA,AUTO,Quebec
CWEF,ST PAUL ISLAND (AUT),St Paul Island (Aut),71418,8204909,47.226333,-60.139972,26,MSC,CA,AUTO,Nova Scotia
CWEH,EASTEND CYPRESS (AUT),Eastend Cypress (Aut),71131,4032322,49.4378,-108.9886,1081.1,MSC,CA,AUTO,Saskatchewan
CWEI,MELITA,Melita,71447,501A7AR,49.281262,-100.986228,445.94,MSC,CA,AUTO,Manitoba
CWEL,ENTRANCE ISLAND,Entrance Island,71772,1022689,49.208714,-123.810565,9.1,MSC,CA,AUTO,British Columbia
CWEO,LAC EON,Lac Eon,71421,704C64L,51.86738,-63.283231,569.75,MSC,CA,AUTO,Quebec
CWEP,EAST POINT (AUT),East Point (Aut),71412,8300418,46.459642,-61.987838,10.5,MSC,CA,AUTO,Prince Edward Island
CWEQ,SWAN RIVER RCS,Swan River Rcs,71443,504K80K,52.115144,-101.232791,335.012,MSC,CA,AUTO,Manitoba
CWER,ILE D'ORLEANS,Ile D'Orleans,71424,70132G9,46.9967,-70.8083,3.6,MSC,CA,AUTO,Quebec
CWEU,Eureka,Eureka,71917,2401208,79.99445,-85.81194,82.9,NAV CANADA,NC-AWOS,AUTO,Nunavut
CWEU,Eureka,Eureka,71917,2401203,79.99445,-85.81194,82.9,NAV CANADA,NC-HWOS,MAN,Nunavut
CWEW,L'ASSOMPTION,L'Assomption,71524,7014160,45.8094,-73.4348,21,MSC,CA,AUTO,Quebec
CWEX,EMERSON AUTO,Emerson Auto,71560,5020881,49,-97.2375,243.5,MSC,CA,AUTO,Manitoba
CWEZ,SATURNA ISLAND,Saturna Island,71473,1017101,48.783215,-123.045807,25.4,MSC,CA,AUTO,British Columbia
CWFD,CAPE DYER,Cape Dyer,71094,2400650,66.66556,-61.35889,725,DND,DND-AWOS,AUTO,Nunavut
CWFE,ELK ISLAND NAT PARK,Elk Island Nat Park,71238,3012275,53.682619,-112.868105,714.85,MSC,CA,AUTO,Alberta
CWFF,MELFORT,Melfort,71456,4055079,52.816274,-104.596511,487.343,MSC,CA,AUTO,Saskatchewan
CWFG,SARTINE ISLAND (AUT),Sartine Island (Aut),71478,1037090,50.819384,-128.906201,103.45,MSC,CA,AUTO,British Columbia
CWFJ,CARDSTON,Cardston,71153,3031322,49.2008,-113.2859,1137.2,MSC,CA,AUTO,Alberta
CWFO,FLIN FLON,Flin Flon,71954,5050919,54.678111,-101.679138,305.4,MSC,CA,AUTO,Manitoba
CWFQ,FRELIGHSBURG,Frelighsburg,71373,7022579,45.039583,-72.856117,226.074,MSC,CA,AUTO,Quebec
CWFW,BAIE-COMEAU,Baie-Comeau,71829,704S001,49.259088,-68.145632,129.8,MSC,CA,AUTO,Quebec
CWFX,COLVILLE LAKE,Colville Lake,71055,2200824,67.021574,-126.123204,272.3,MSC,CA,AUTO,Northwest Territories
CWGB,BALLENAS ISLAND,Ballenas Island,71769,1020590,49.350544,-124.160498,14.51,MSC,CA,AUTO,British Columbia
CWGD,GODERICH,Goderich,71261,6122847,43.764791,-81.712275,215.25,MSC,CA,AUTO,Ontario
CWGH,GRENADIER ISLAND,Grenadier Island,71281,6103024,44.455,-75.862,83.5,MSC,CA,AUTO,Ontario
CWGL,LAGOON CITY,Lagoon City,71282,6114295,44.548,-79.221,211.5,MSC,CA,AUTO,Ontario
CWGM,WATERTON PARK GATE,Waterton Park Gate,71154,3056214,49.1311,-113.8086,1289,MSC,CA,AUTO,Alberta
CWGN,GRETNA (AUT),Gretna (Aut),71441,5021220,49.030841,-97.560191,251.606,MSC,CA,AUTO,Manitoba
CWGP,PEMBERTON AIRPORT,Pemberton Airport,71777,1086082,50.305556,-122.733889,207.3,MSC,CA,AUTO,British Columbia
CWGR,ILES DE LA MADELEINE,Iles De La Madeleine,71710,7053KGR,47.425194,-61.774667,9.6,MSC,CA,AUTO,Quebec
CWGT,SISTERS ISLAND,Sisters Island,71781,1027403,49.4866,-124.4349,20,MSC,CA,AUTO,British Columbia
CWGW,SPARWOOD CS,Sparwood Cs,71782,1157631,49.745,-114.8839,1137.9,MSC,CA,AUTO,British Columbia
CWGX,GILLAM,Gillam,73087,5060999,56.35936,-94.70411,145.5,MSC,CA,AUTO,Manitoba
CWGY,ESTHER 1,Esther 1,71240,301B460,51.6697,-110.2061,702.3,MSC,CA,AUTO,Alberta
CWGZ,Grise Fiord,Grise Fiord,,2402360,76.42584,-82.90806,41.1,NAV CANADA,NC-AWOS,AUTO,Nunavut
CWGZ,Grise Fiord,Grise Fiord,,2402338,76.42584,-82.90806,41.1,NAV CANADA,NC-HWOS,MAN,Nunavut
CWHC,VANCOUVER HARBOUR CS,Vancouver Harbour Cs,71201,1108446,49.2954,-123.1219,4,MSC,CA,AUTO,British Columbia
CWHI,THREE HILLS,Three Hills,71249,3026479,51.767523,-113.205582,857,GovAB,CA,AUTO,Alberta
CWHO,HOPEDALE (AUT),Hopedale (Aut),71900,8502400,55.45,-60.2167,10.1,MSC,CA,AUTO,Newfoundland and Labrador
CWHP,HEATH POINT,Heath Point,71423,7053038,49.085222,-61.700494,5.045,MSC,CA,AUTO,Quebec
CWHQ,DESCHAMBAULT,Deschambault,71389,7011983,46.690641,-71.971732,60.736,MSC,CA,AUTO,Quebec
CWHT,HAINES JUNCTION,Haines Junction,71505,2100630,60.772669,-137.580447,600,MSC,CA,AUTO,Yukon
CWHV,BEAUCEVILLE,Beauceville,71323,7028754,46.204894,-70.785097,229.693,MSC,CA,AUTO,Quebec
CWIC,ISACHSEN (AUT),Isachsen (Aut),71074,2402604,78.792272,-103.55458,59.5,MSC,CA,AUTO,Nunavut
CWID,FORT PROVIDENCE,Fort Providence,71087,2201799,61.3169,-117.6019,162.9,MSC,CA,AUTO,Northwest Territories
