IATA_ID,Name,Updated Name,WMO_ID,MSC_ID,Latitude,Longitude,Elevation(m),Data_Provider,Dataset/Network,AUTO/MAN,Province/Territory
CESB,SHELBURNE SANDY POINT,Shelburne Sandy Point,73015,8205130,43.753027,-65.307917,47.525,MSC,CA,AUTO,Nova Scotia
CEWD,WOODSTOCK NEWBRIDGE,Woodstock Newbridge,71606,8105603,46.152229,-67.542653,148.2,MSC,CA,AUTO,New Brunswick
CFOX,BRAY ISLAND,Bray Island,73232,2400561,69.22389,-77.23028,15,DND,DND-AWOS,AUTO,Nunavut
CGAH,LA GRANDE IV,La Grande Iv,71823,7093GJ5,53.757213,-73.678642,303.022,MSC,CA,AUTO,Quebec
CGBC,BAIE-COMEAU,Baie-Comeau,71890,7040442,49.13507,-68.202461,21.933,MSC,CA,AUTO,Quebec
CGCH,CHIBOUGAMAU-CHAPAIS,Chibougamau-Chapais,73011,7091410,49.777307,-74.530384,389.836,MSC,CA,AUTO,Quebec
CGCL,CAUSAPSCAL AIRPORT,Causapscal Airport,73005,7051201,48.308789,-67.252754,127.91,MSC,CA,AUTO,Quebec
CGGA,GASPE AIRPORT,Gaspe Airport,73116,7052603,48.776738,-64.479393,36.072,MSC,CA,AUTO,Quebec
CGKM,SCHEFFERVILLE COTE-NORD,Schefferville Cote-Nord,73075,7117824,54.802639,-66.804488,519.337,MSC,CA,AUTO,Quebec
CGMG,MATAGAMI,Matagami,71821,7094637,49.757871,-77.793226,281.484,MSC,CA,AUTO,Quebec
CGRQ,TROIS RIVIERES,Trois Rivieres,71729,7018563,46.359328,-72.67593,63,MSC,CA,AUTO,Quebec
CGSA,SAINT-CAMILLE-DE-LELLIS,Saint-Camille-De-Lellis,73105,7026930,46.494686,-70.207442,404.083,MSC,CA,AUTO,Quebec
CGVO,VAL-D'OR,Val-D'Or,71725,7098603,48.056548,-77.78658,338.952,MSC,CA,AUTO,Quebec
CMFJ,KUUJJUARAPIK,Kuujjuarapik,71615,7103539,55.369504,-77.629143,31.729,MSC,CA,AUTO,Quebec
CMFM,FORET MONTMORENCY RCS,Foret Montmorency Rcs,71212,7042395,47.322593,-71.148281,673.105,MSC,CA,AUTO,Quebec
CMFX,SALLUIT,Salluit,71641,7117800,62.17945,-75.6703,229,MSC,CA,AUTO,Quebec
CMGB,GRANBY,Granby,,7022802,45.372631,-72.774189,88.232,MSC,CA,AUTO,Quebec
CMGZ,GRANDES BERGERONNES,Grandes Bergeronnes,71942,7042845,48.274529,-69.543661,59.238,MSC,CA,AUTO,Quebec
CMIN,PARC NATIONAL DES PINGUALUIT,Parc National Des Pingualuit,71976,7115800,61.31283,-73.668412,501.578,MSC,CA,AUTO,Quebec
CMJI,MONT-JOLI,Mont-Joli,71658,7055122,48.605193,-68.195657,57.608,MSC,CA,AUTO,Quebec
CMJK,INUKJUAK,Inukjuak,71907,710S005,58.4673,-78.0787,25,MSC,CA,AUTO,Quebec
CMJN,NEW RICHMOND EAST,New Richmond East,71659,7055440,48.156544,-65.84193,4.177,MSC,CA,AUTO,Quebec
CMLU,LEMIEUX,Lemieux,71616,701Q009,46.303728,-72.060519,94.693,MSC,CA,AUTO,Quebec
CMMY,SAINT-MICHEL-DES-SAINTS,Saint-Michel-Des-Saints,71737,7077571,46.815567,-74.094017,430.132,MSC,CA,AUTO,Quebec
CMNT,NATASHQUAN AIRPORT,Natashquan Airport,71813,7045401,50.190066,-61.794219,10.892,MSC,CA,AUTO,Quebec
CMRF,RIVIERE AUX FEUILLES,Riviere Aux Feuilles,71743,7116505,57.909731,-72.976014,171.257,MSC,CA,AUTO,Quebec
